kecamatan,jumlah_penduduk,kepadatan_penduduk,total_kunjungan,visits_per_1000,total_tenaga_kesehatan,nakes_per_1000,jumlah_perawat,perawat_per_1000,jumlah_bidan,bidan_per_1000,jumlah_tenaga_medis,doctors_per_1000,total_faskes,faskes_per_100k,jumlah_puskesmas,puskesmas_per_100k,jumlah_pustu,pustu_per_100k,total_tempat_tidur,beds_per_1000,total_kasus_penyakit,disease_per_1000,workforce_growth,demand_growth,workforce_demand_mismatch,jenis_penyakit_dominan,kasus_penyakit_tertinggi,jumlah_jenis_penyakit,distance_to_facility,travel_time,accessibility_gap
Simokerto,92.1,35271,84372.0,916.0912052117263,1678.0,18.219326818675356,765,8.306188925081432,163,1.7698154180238872,315,3.420195439739414,21,22.80130293159609,2,2.1715526601520088,0.0,0.0,2109.0,22.89902280130293,62222,675.5917480998914,,,,Penyakit pada sistem pernafasan,15444,21,,,
Suko Manunggal,104.2,11237,94399.0,905.9404990403071,1178.0,11.305182341650672,436,4.18426103646833,65,0.6238003838771593,368,3.531669865642994,29,27.831094049904028,2,1.9193857965451055,0.0,0.0,220.0,2.111324376199616,68534,657.7159309021114,,,,Penyakit pada sistem pernafasan,14969,21,,,
Sukolilo,115.9,3845,103941.0,896.8162208800691,3199.0,27.601380500431407,1107,9.551337359792925,199,1.716997411561691,1040,8.9732528041415,58,50.043140638481454,3,2.5884383088869716,0.0,0.0,711.0,6.134598792062122,84566,729.6462467644521,,,,Penyakit pada sistem pernafasan,17373,21,,,
Tambaksari,227.0,25309,155632.0,685.6035242290749,1554.0,6.845814977973568,425,1.8722466960352422,103,0.45374449339207046,629,2.7709251101321586,49,21.58590308370044,3,1.3215859030837005,0.0,0.0,288.0,1.2687224669603525,73956,325.7973568281938,,,,Penyakit pada sistem pernafasan,14845,21,,,
Tandes,91.8,9234,100657.0,1096.4814814814813,374.0,4.0740740740740735,118,1.2854030501089324,67,0.7298474945533769,74,0.8061002178649237,27,29.41176470588235,2,2.178649237472767,0.0,0.0,76.0,0.8278867102396514,75525,822.7124183006536,,,,Penyakit pada sistem pernafasan,14979,21,,,
Tegalsari,97.5,22624,88715.0,909.8974358974359,1354.0,13.887179487179488,419,4.297435897435898,69,0.7076923076923077,480,4.923076923076923,48,49.230769230769226,2,2.051282051282051,0.0,0.0,247.0,2.533333333333333,56539,579.8871794871795,,,,Penyakit pada sistem pernafasan,12548,21,,,
Tenggilis Mejoyo,58.9,10143,48408.0,821.867572156197,1247.0,21.171477079796265,437,7.419354838709678,84,1.4261460101867571,414,7.028862478777589,24,40.74702886247878,1,1.697792869269949,0.0,0.0,36.0,0.6112054329371817,32012,543.4974533106961,,,,Penyakit pada sistem pernafasan,7490,21,,,
Wiyung,76.5,6179,81144.0,1060.7058823529412,1866.0,24.3921568627451,761,9.947712418300654,158,2.065359477124183,509,6.65359477124183,31,40.52287581699346,2,2.6143790849673203,0.0,0.0,462.0,6.03921568627451,56788,742.3267973856209,,,,Faktor-faktor yang mempengaruhi status kesehatan dan hubungannya dengan jasa kesehatan,15180,21,,,
Wonocolo,80.0,12256,98841.0,1235.5125,1406.0,17.575,474,5.925,105,1.3125,338,4.225,39,48.75,3,3.7499999999999996,0.0,0.0,295.0,3.6875,71521,894.0124999999999,,,,Penyakit pada sistem pernafasan,18158,21,,,
Wonokromo,153.6,18591,159194.0,1036.4192708333333,6286.0,40.924479166666664,2884,18.776041666666668,414,2.6953125,1465,9.537760416666668,59,38.41145833333333,3,1.953125,0.0,0.0,1503.0,9.78515625,98615,642.0247395833333,,,,Penyakit pada sistem pencernaan,19746,21,,,
